saison,episode,titre,sujet
04,10,S04E10 The Girl From Poughkeepsie.txt,"stuffing, dating, wells, quit, prague"
04,11,S04E11 Phoebes Uterus.txt,"brother, engaged, surrogate, erogenous, tables"
04,12,S04E12 The Embryos.txt,"bags, categorizes, transponding, awwwww, endometria"
04,13,S04E13 Rachels Crush.txt,"nicole, dresses, beefsteak, pecs, anytime"
04,14,S04E14 Joeys Dirty Day.txt,"strippers, kurt, waltham, hooked, unless"
04,15,S04E15 All The Rugby.txt,"nails, liam, yemen, stay, express"
04,16,S04E16 The Fake Party.txt,"cravings, bologna, awwww, dress, surprised"
04,17,S04E17 The Free Porn.txt,"taxicab, births, refrigerator, fantasies, cheer"
04,18,S04E18 Rachels New Dress.txt,"babies, carol, definitely, mignon, filet"
04,19,S04E19 All The Haste.txt,"apartment, knickers, wear, emily, fact"
04,20,S04E20 The Wedding Dresses.txt,"weddings, gunther, snoring, plus, sink"
04,21,S04E21 The Invitation.txt,"married, ewwwww, probably, agreed, everest"
04,22,S04E22 The Worst Best Man Ever.txt,"strippers, tenth, wedding, hut, ritalin"
04,23,S04E23 Rosss Wedding.txt,"londoners, wedding, salmonella, stepmum, phewbedo"
05,01,S05E01 Ross Says Rachel.txt,"emily, suites, passengers, everlasting, supposed"
05,02,S05E02 All The Kissing.txt,"london, smudgey, potpourri, wedding, return"
05,03,S05E03 Hundredth.txt,"babies, aaiiyyyeeee, oberman, delaware, bummed"
05,04,S05E04 Phoebe Hates PBS.txt,"naps, sesame, london, telethon, probably"
05,05,S05E05 The Kips.txt,"weekend, emily, madlibs, unbelievable, hid"
05,06,S05E06 The Yeti.txt,"waffles, uptown, sublet, filipino, supposed"
05,07,S05E07 Ross Moves In.txt,"kitchen, subletting, hatless, plenty, looong"
05,08,S05E08 The Thanksgiving Flashbacks.txt,"thanksgivings, gauze, nancy, freak, tip"
05,09,S05E09 Rosss Sandwich.txt,"sandwiches, heathcliff, characterize, shhh, fountain"
05,10,S05E10 The Inappropriate Sister.txt,"fridge, slack, merry, shhh, weighted"
05,11,S05E11 All The Resolutions.txt,"gossiping, awww, guitars, planeload, supposed"
05,12,S05E12 Chandlers Work Laugh.txt,"doug, cheatum, racquets, weddings, sabbatical"
05,13,S05E13 Joeys Bag.txt,"funeral, massages, sophisticated, half, anytime"
05,14,S05E14 Everybody Finds Out.txt,"laundry, bicep, probably, misunderstood, sent"
05,15,S05E15 The Girl Who Hits Joey.txt,"sister, nametags, awww, walk, breadstick"
05,16,S05E16 The Cop.txt,"couch, probably, welcome, silver, fact"
05,17,S05E17 Rachels Inadvertant Kiss.txt,"clerk, impress, sleaze, stairway, supposed"
05,18,S05E18 Rachel Smokes.txt,"ben, alphabetized, auditioning, agree, swings"
05,19,S05E19 Ross Cant Flirt.txt,"anniversary, vegetables, likely, uncanny, misdemeanors"
05,20,S05E20 The Ride Along.txt,"wedding, tastiness, crazy, categories, risked"
05,21,S05E21 The Ball.txt,"litter, brooklyn, sweethart, listings, eventually"
05,22,S05E22 Joeys Big Break.txt,"blinky, paycheck, treat, illinois, ascot"
05,23,S05E23 In Vegas.txt,"simmons, anniversary, lazy, london, knew"
06,01,S06E01 Vegas.txt,"married, exactly, enjoy, renew, protein"
06,02,S06E02 Ross Hugs Rachel.txt,"divorces, tombstone, angelica, bravo, mailroom"
06,03,S06E03 Rosss Denial.txt,"roommates, mahogany, means, shhhhhh, enjoy"
06,04,S06E04 Joey Loses His Insurance.txt,"kitchen, sediment, subcategorized, confess, bother"
06,05,S06E05 Joeys Porsche.txt,"newlywed, carnuba, sit, remember, polishing"
